time [ms], AccX [g], AccY [g], AccZ [g], GyroX [deg/s], GyroY [deg/s], GyroZ [deg/s]
120106,0.44,0.05,1.03,24.90,309.48,-30.57
120109,0.45,0.06,1.00,24.15,309.88,-28.89
120112,0.45,0.06,0.99,22.53,315.21,-26.75
120115,0.44,0.07,0.98,20.96,322.34,-25.03
120118,0.43,0.07,0.96,18.81,332.93,-22.69
120122,0.43,0.07,0.96,15.31,348.43,-21.04
120126,0.41,0.08,0.99,12.82,357.88,-20.05
120129,0.38,0.08,1.02,10.24,361.77,-18.95
120132,0.35,0.08,1.07,8.95,359.66,-19.10
120135,0.33,0.08,1.11,7.42,350.66,-19.85
120138,0.29,0.06,1.15,6.12,336.11,-20.13
120141,0.25,0.05,1.17,4.41,315.53,-19.79
120144,0.25,0.03,1.17,2.18,293.31,-20.17
120147,0.27,0.03,1.13,-1.15,271.82,-20.36
120150,0.29,0.01,1.11,-5.31,254.29,-21.62
120153,0.32,0.00,1.09,-8.92,239.36,-22.78
120156,0.33,-0.01,1.09,-11.59,228.41,-23.27
120160,0.31,0.00,1.07,-12.69,216.84,-21.43
120163,0.28,0.02,1.05,-13.12,210.90,-18.20
120166,0.25,0.05,1.04,-12.96,207.19,-12.14
120169,0.23,0.07,1.02,-13.36,204.15,-4.59
120172,0.18,0.09,1.03,-14.28,200.95,5.45
120175,0.15,0.11,1.05,-16.02,195.72,16.03
120178,0.12,0.11,1.08,-18.89,186.12,27.22
120181,0.10,0.10,1.12,-22.23,172.63,37.90
120184,0.08,0.09,1.15,-25.60,154.47,48.25
120187,0.07,0.07,1.19,-29.57,130.63,57.57
120190,0.05,0.06,1.20,-33.74,103.82,65.48
120193,0.04,0.04,1.23,-38.44,71.79,72.03
120197,0.04,0.02,1.26,-46.93,20.98,77.83
120200,0.05,0.02,1.26,-54.43,-18.11,79.84
120203,0.05,0.02,1.27,-62.61,-57.25,80.57
120206,0.06,0.02,1.25,-71.77,-97.01,80.99
120209,0.05,0.03,1.22,-81.21,-137.59,81.19
120212,0.05,0.04,1.21,-90.41,-176.64,81.54
120216,0.06,0.06,1.19,-99.12,-216.99,83.61
120219,0.05,0.07,1.20,-105.50,-255.48,85.66
120222,0.05,0.08,1.20,-109.94,-294.72,88.48
120225,0.05,0.09,1.19,-112.37,-333.10,91.66
120228,0.05,0.10,1.19,-114.57,-373.37,95.72
120231,0.05,0.09,1.16,-116.08,-411.15,99.00
120235,0.07,0.08,1.11,-117.57,-460.47,103.26
120238,0.08,0.04,1.09,-117.28,-494.28,105.09
120241,0.08,0.02,1.05,-115.50,-505.22,108.13
120244,0.09,0.00,1.02,-113.33,-505.22,111.12
120247,0.09,-0.01,1.01,-109.67,-505.22,114.96
120250,0.08,-0.02,0.99,-104.31,-505.22,119.34
120253,0.07,-0.03,0.97,-97.74,-505.22,124.41
120256,0.06,-0.04,0.95,-91.65,-505.22,129.83
120259,0.05,-0.05,0.94,-86.55,-505.22,135.51
120262,0.06,-0.07,0.93,-82.06,-505.22,139.12
120265,0.05,-0.11,0.92,-77.31,-505.22,141.05
120270,0.05,-0.11,0.89,-71.80,-505.22,143.05
120273,0.07,-0.11,0.83,-69.44,-505.22,144.74
120276,0.09,-0.14,0.77,-67.28,-505.22,144.88
120279,0.11,-0.16,0.72,-66.09,-505.22,144.28
120282,0.13,-0.18,0.69,-66.52,-505.22,142.42
120285,0.16,-0.19,0.72,-69.48,-505.22,139.66
120288,0.18,-0.20,0.73,-73.96,-505.22,135.61
120291,0.21,-0.20,0.76,-79.82,-505.22,130.44
120294,0.23,-0.19,0.80,-87.01,-505.22,123.93
120297,0.27,-0.19,0.84,-93.47,-505.22,114.77
120300,0.32,-0.16,0.87,-99.10,-505.22,104.30
120304,0.39,-0.10,0.80,-108.90,-505.22,89.35
120307,0.40,-0.09,0.83,-113.57,-505.22,80.64
120311,0.46,-0.09,0.75,-119.30,-505.22,71.87
120314,0.49,-0.09,0.82,-124.52,-505.22,65.61
120317,0.54,-0.11,0.84,-129.70,-505.22,58.18
120320,0.55,-0.13,0.87,-134.60,-505.22,50.68
120323,0.57,-0.12,0.86,-140.44,-505.22,45.86
120327,0.59,-0.10,0.87,-148.67,-505.22,42.90
120330,0.63,-0.07,0.85,-157.30,-505.22,42.09
120333,0.63,-0.05,0.83,-164.69,-505.22,43.61
120337,0.64,-0.04,0.83,-170.34,-505.22,47.11
120341,0.64,-0.02,0.80,-174.41,-505.22,54.62
120344,0.64,-0.01,0.79,-173.74,-505.22,59.99
120347,0.64,-0.01,0.77,-173.71,-505.22,64.61
120350,0.65,0.01,0.74,-171.39,-505.22,67.95
120353,0.68,0.01,0.71,-171.57,-505.22,67.46
120357,0.71,-0.00,0.68,-174.09,-505.22,63.55
